,start_time,end_time,activity,real_start,real_end
14:06:40.135361,0 days 00:01:27.135361000,0 days 00:01:28.522240000,search,0 days 14:06:40.135361000,0 days 14:06:41.522240000
14:08:43.966400,0 days 00:01:44.966400000,0 days 00:01:44.991997000,empty,0 days 14:08:43.966400000,0 days 14:08:43.991997000
14:10:28.984299,0 days 00:01:44.984299000,0 days 00:01:45.009903000,empty,0 days 14:10:28.984299000,0 days 14:10:29.009903000
14:12:15.054100,0 days 00:01:45.054100000,0 days 00:01:45.079697000,empty,0 days 14:12:15.054100000,0 days 14:12:15.079697000
14:14:01.019501,0 days 00:01:45.019501000,0 days 00:01:45.045097000,empty,0 days 14:14:01.019501000,0 days 14:14:01.045097000
14:15:46.030998,0 days 00:01:45.030998000,0 days 00:01:45.056602000,empty,0 days 14:15:46.030998000,0 days 14:15:46.056602000
14:17:31.997803,0 days 00:01:44.997803000,0 days 00:01:45.023399000,empty,0 days 14:17:31.997803000,0 days 14:17:32.023399000
14:19:17.942101,0 days 00:01:44.942101000,0 days 00:01:44.967697000,empty,0 days 14:19:17.942101000,0 days 14:19:17.967697000
14:21:03.010597,0 days 00:01:45.010597000,0 days 00:01:45.036201000,empty,0 days 14:21:03.010597000,0 days 14:21:03.036201000
14:22:49.033600,0 days 00:01:45.033600000,0 days 00:01:45.059196000,empty,0 days 14:22:49.033600000,0 days 14:22:49.059196000
14:24:35.066902,0 days 00:01:45.066902000,0 days 00:01:45.092499000,empty,0 days 14:24:35.066902000,0 days 14:24:35.092499000
14:26:20.050201,0 days 00:01:45.050201000,0 days 00:01:45.075798000,empty,0 days 14:26:20.050201000,0 days 14:26:20.075798000
14:28:06.018204,0 days 00:01:45.018204000,0 days 00:01:45.043800000,empty,0 days 14:28:06.018204000,0 days 14:28:06.043800000
14:29:52.050201,0 days 00:01:45.050201000,0 days 00:01:45.075798000,empty,0 days 14:29:52.050201000,0 days 14:29:52.075798000
14:29:59.449280,0 days 00:00:06.449280000,0 days 00:00:06.474880000,empty,0 days 14:29:59.449280000,0 days 14:29:59.474880000
