,start_time,end_time,activity,real_start,real_end
11:31:50.260803,0 days 00:01:45.260803000,0 days 00:01:45.286400000,empty,0 days 11:31:50.260803000,0 days 11:31:50.286400000
11:31:50.260803,0 days 00:01:45.260803000,0 days 00:01:45.286400000,empty,0 days 11:31:50.260803000,0 days 11:31:50.286400000
11:33:35.252502,0 days 00:01:45.252502000,0 days 00:01:45.278099000,empty,0 days 11:33:35.252502000,0 days 11:33:35.278099000
11:35:20.237099,0 days 00:01:45.237099000,0 days 00:01:45.262703000,empty,0 days 11:35:20.237099000,0 days 11:35:20.262703000
11:37:06.277397,0 days 00:01:45.277397000,0 days 00:01:45.303001000,empty,0 days 11:37:06.277397000,0 days 11:37:06.303001000
11:38:51.260803,0 days 00:01:45.260803000,0 days 00:01:45.286400000,empty,0 days 11:38:51.260803000,0 days 11:38:51.286400000
11:40:37.228798,0 days 00:01:45.228798000,0 days 00:01:45.254402000,empty,0 days 11:40:37.228798000,0 days 11:40:37.254402000
11:42:22.264602,0 days 00:01:45.264602999,0 days 00:01:45.290199000,empty,0 days 11:42:22.264602999,0 days 11:42:22.290199000
11:44:07.254402,0 days 00:01:45.254402000,0 days 00:01:45.279999000,empty,0 days 11:44:07.254402000,0 days 11:44:07.279999000
11:45:53.255699,0 days 00:01:45.255699000,0 days 00:01:45.281303000,empty,0 days 11:45:53.255699000,0 days 11:45:53.281303000
11:47:38.260803,0 days 00:01:45.260803000,0 days 00:01:45.286400000,empty,0 days 11:47:38.260803000,0 days 11:47:38.286400000
11:49:23.236504,0 days 00:01:45.236504000,0 days 00:01:45.262100000,empty,0 days 11:49:23.236504000,0 days 11:49:23.262100000
11:51:09.262100,0 days 00:01:45.262100000,0 days 00:01:45.287697000,empty,0 days 11:51:09.262100000,0 days 11:51:09.287697000
11:52:54.250603,0 days 00:01:45.250603000,0 days 00:01:45.276199000,empty,0 days 11:52:54.250603000,0 days 11:52:54.276199000
11:54:40.259498,0 days 00:01:45.259498999,0 days 00:01:45.285103000,empty,0 days 11:54:40.259498999,0 days 11:54:40.285103000
11:56:25.251801,0 days 00:01:45.251801000,0 days 00:01:45.277397000,empty,0 days 11:56:25.251801000,0 days 11:56:25.277397000
11:58:10.250603,0 days 00:01:45.250603000,0 days 00:01:45.276199000,empty,0 days 11:58:10.250603000,0 days 11:58:10.276199000
11:59:56.253098,0 days 00:01:45.253098000,0 days 00:01:45.278702000,empty,0 days 11:59:56.253098000,0 days 11:59:56.278702000
12:00:07.786240,0 days 00:00:11.786240000,0 days 00:00:14.088320000,approach,0 days 12:00:07.786240000,0 days 12:00:10.088320000
12:00:10.145920,0 days 00:00:14.145920000,0 days 00:00:14.865280000,search,0 days 12:00:10.145920000,0 days 12:00:10.865280000
12:01:05.626244,0 days 00:01:09.626244000,0 days 00:01:10.705910000,search,0 days 12:01:05.626244000,0 days 12:01:06.705910000
12:01:23.695343,0 days 00:01:27.695343000,0 days 00:01:30.312309000,search,0 days 12:01:23.695343000,0 days 12:01:26.312309000
12:03:22.755203,0 days 00:01:40.755203000,0 days 00:01:43.018204000,buzz1,0 days 12:03:22.755203000,0 days 12:03:25.018204000
12:05:08.932198,0 days 00:01:41.932198000,0 days 00:01:43.128402999,search,0 days 12:05:08.932198000,0 days 12:05:10.128402999
12:06:09.453442,0 days 00:00:57.453442000,0 days 00:00:58.282242000,buzz1,0 days 12:06:09.453442000,0 days 12:06:10.282242000
12:06:14.078079,0 days 00:01:02.078079000,0 days 00:01:02.958080000,search,0 days 12:06:14.078079000,0 days 12:06:14.958080000
12:08:43.254402,0 days 00:01:45.254402000,0 days 00:01:45.279999000,empty,0 days 12:08:43.254402000,0 days 12:08:43.279999000
12:09:05.081280,0 days 00:00:22.081280000,0 days 00:00:23.191040000,search,0 days 12:09:05.081280000,0 days 12:09:06.191040000
12:10:43.131840,0 days 00:00:14.131840000,0 days 00:00:17.721600000,search,0 days 12:10:43.131840000,0 days 12:10:46.721600000
12:11:38.217918,0 days 00:01:09.217918000,0 days 00:01:10.204163000,search,0 days 12:11:38.217918000,0 days 12:11:39.204163000
12:11:39.709106,0 days 00:01:10.709106000,0 days 00:01:10.729599000,social call,0 days 12:11:39.709106000,0 days 12:11:39.729599000
12:13:15.512321,0 days 00:01:01.512321000,0 days 00:01:06.056961000,search,0 days 12:13:15.512321000,0 days 12:13:20.056961000
12:13:49.330559,0 days 00:01:35.330559000,0 days 00:01:36.274567000,search,0 days 12:13:49.330559000,0 days 12:13:50.274567000
12:14:13.699520,0 days 00:00:14.699520000,0 days 00:00:15.527680000,search,0 days 12:14:13.699520000,0 days 12:14:14.527680000
12:14:20.565439,0 days 00:00:21.565439000,0 days 00:00:24.417919000,search,0 days 12:14:20.565439000,0 days 12:14:23.417919000
12:15:09.759682,0 days 00:01:10.759682000,0 days 00:01:11.802254000,search,0 days 12:15:09.759682000,0 days 12:15:10.802254000
12:15:09.759682,0 days 00:01:10.759682000,0 days 00:01:11.802254000,search,0 days 12:15:09.759682000,0 days 12:15:10.802254000
12:15:15.556137,0 days 00:01:16.556137000,0 days 00:01:17.701759000,search,0 days 12:15:15.556137000,0 days 12:15:16.701759000
12:15:15.556137,0 days 00:01:16.556137000,0 days 00:01:17.701759000,search,0 days 12:15:15.556137000,0 days 12:15:16.701759000
12:15:22.000320,0 days 00:01:23.000320000,0 days 00:01:23.837440000,approach,0 days 12:15:22.000320000,0 days 12:15:22.837440000
12:15:22.888000,0 days 00:01:23.888000000,0 days 00:01:23.968643000,search,0 days 12:15:22.888000000,0 days 12:15:22.968643000
12:15:22.888000,0 days 00:01:23.888000000,0 days 00:01:23.968643000,search,0 days 12:15:22.888000000,0 days 12:15:22.968643000
12:15:31.309097,0 days 00:01:32.309097000,0 days 00:01:33.852791000,buzz1,0 days 12:15:31.309097000,0 days 12:15:32.852791000
12:15:31.309097,0 days 00:01:32.309097000,0 days 00:01:33.852791000,buzz1,0 days 12:15:31.309097000,0 days 12:15:32.852791000
12:15:32.067520,0 days 00:01:33.067520000,0 days 00:01:33.093117000,social call,0 days 12:15:32.067520000,0 days 12:15:32.093117000
12:16:18.212158,0 days 00:00:33.212158000,0 days 00:00:34.652802000,approach,0 days 12:16:18.212158000,0 days 12:16:19.652802000
12:16:19.751362,0 days 00:00:34.751362000,0 days 00:00:36.910080000,search,0 days 12:16:19.751362000,0 days 12:16:21.910080000
12:16:37.793598,0 days 00:00:52.793598000,0 days 00:00:54.108158000,search,0 days 12:16:37.793598000,0 days 12:16:39.108158000
12:16:56.834244,0 days 00:01:11.834244000,0 days 00:01:12.877441000,search,0 days 12:16:56.834244000,0 days 12:16:57.877441000
12:17:33.680640,0 days 00:00:03.680640000,0 days 00:00:06.457600000,search,0 days 12:17:33.680640000,0 days 12:17:36.457600000
12:17:47.386881,0 days 00:00:17.386881000,0 days 00:00:17.445120000,search,0 days 12:17:47.386881000,0 days 12:17:47.445120000
12:18:02.234879,0 days 00:00:32.234879000,0 days 00:00:32.538239000,search,0 days 12:18:02.234879000,0 days 12:18:02.538239000
12:18:08.321281,0 days 00:00:38.321281000,0 days 00:00:38.780159000,search,0 days 12:18:08.321281000,0 days 12:18:08.780159000
12:18:34.789757,0 days 00:01:04.789757000,0 days 00:01:05.939201000,search,0 days 12:18:34.789757000,0 days 12:18:35.939201000
12:20:10.535042,0 days 00:00:54.535042000,0 days 00:00:54.779518000,approach,0 days 12:20:10.535042000,0 days 12:20:10.779518000
12:20:42.103683,0 days 00:01:26.103683000,0 days 00:01:28.344307000,search,0 days 12:20:42.103683000,0 days 12:20:44.344307000
12:21:45.927361,0 days 00:00:44.927361000,0 days 00:00:46.181759000,buzz1,0 days 12:21:45.927361000,0 days 12:21:47.181759000
12:21:47.230400,0 days 00:00:46.230400000,0 days 00:00:46.403198000,search,0 days 12:21:47.230400000,0 days 12:21:47.403198000
12:22:14.888641,0 days 00:01:13.888641000,0 days 00:01:15.916801000,search,0 days 12:22:14.888641000,0 days 12:22:16.916801000
12:23:24.985600,0 days 00:00:38.985600000,0 days 00:00:41.068802000,search,0 days 12:23:24.985600000,0 days 12:23:27.068802000
12:23:33.954559,0 days 00:00:47.954559000,0 days 00:00:49.119362000,search,0 days 12:23:33.954559000,0 days 12:23:35.119362000
