,start_time,end_time,activity,real_start,real_end
0 days 11:31:55.233902,0 days 00:01:45.233902000,0 days 00:01:45.259498999,empty,0 days 11:31:55.233902000,0 days 11:31:55.259498999
0 days 11:33:41.209000,0 days 00:01:45.209000000,0 days 00:01:45.234596000,empty,0 days 11:33:41.209000000,0 days 11:33:41.234596000
0 days 11:35:27.211502,0 days 00:01:45.211502000,0 days 00:01:45.237099000,empty,0 days 11:35:27.211502000,0 days 11:35:27.237099000
0 days 11:37:12.230698,0 days 00:01:45.230698000,0 days 00:01:45.256301999,empty,0 days 11:37:12.230698000,0 days 11:37:12.256301999
0 days 11:38:58.067497,0 days 00:01:45.067497000,0 days 00:01:45.093102000,empty,0 days 11:38:58.067497000,0 days 11:38:58.093102000
0 days 11:40:44.032303,0 days 00:01:45.032303000,0 days 00:01:45.057899000,empty,0 days 11:40:44.032303000,0 days 11:40:44.057899000
0 days 11:42:28.969597,0 days 00:01:44.969597000,0 days 00:01:44.995201000,empty,0 days 11:42:28.969597000,0 days 11:42:28.995201000
0 days 11:44:15.015701,0 days 00:01:45.015701000,0 days 00:01:45.041298000,empty,0 days 11:44:15.015701000,0 days 11:44:15.041298000
0 days 11:45:48.403839,0 days 00:01:32.403839000,0 days 00:01:33.406082000,search,0 days 11:45:48.403839000,0 days 11:45:49.406082000
0 days 11:47:58.084801,0 days 00:01:45.084801000,0 days 00:01:45.110397000,empty,0 days 11:47:58.084801000,0 days 11:47:58.110397000
0 days 11:49:05.229439,0 days 00:01:07.229439000,0 days 00:01:07.591042000,search,0 days 11:49:05.229439000,0 days 11:49:05.591042000
0 days 11:51:08.684486,0 days 00:01:25.684486000,0 days 00:01:26.687363000,search,0 days 11:51:08.684486000,0 days 11:51:09.687363000
0 days 11:53:14.024597,0 days 00:01:45.024597000,0 days 00:01:45.050201000,empty,0 days 11:53:14.024597000,0 days 11:53:14.050201000
0 days 11:54:59.956200,0 days 00:01:44.956200000,0 days 00:01:44.981796000,empty,0 days 11:54:59.956200000,0 days 11:54:59.981796000
0 days 11:56:45.102097,0 days 00:01:45.102097000,0 days 00:01:45.127701000,empty,0 days 11:56:45.102097000,0 days 11:56:45.127701000
0 days 11:58:31.029800,0 days 00:01:45.029800000,0 days 00:01:45.055397000,empty,0 days 11:58:31.029800000,0 days 11:58:31.055397000
0 days 11:58:38.083200,0 days 00:00:06.083200000,0 days 00:00:06.320640000,search,0 days 11:58:38.083200000,0 days 11:58:38.320640000
0 days 12:02:02.018898,0 days 00:01:45.018898000,0 days 00:01:45.044502000,empty,0 days 12:02:02.018898000,0 days 12:02:02.044502000
0 days 12:04:15.079002,0 days 00:01:45.079002000,0 days 00:01:45.104599000,empty,0 days 12:04:15.079002000,0 days 12:04:15.104599000
0 days 12:05:33.918999,0 days 00:01:44.918999000,0 days 00:01:44.944603000,empty,0 days 12:05:33.918999000,0 days 12:05:33.944603000
