,start_time,end_time,activity,real_start,real_end
11:31:50.246101,0 days 00:01:45.246101000,0 days 10:25:00.000000000,empty,0 days 11:31:50.246101000,0 days 21:55:05.000000000
11:33:35.251801,0 days 00:01:45.251801000,0 days 10:38:01.250000000,empty,0 days 11:33:35.251801000,0 days 22:09:51.250000000
11:35:21.289001,0 days 00:01:45.289001000,0 days 11:30:06.250000000,empty,0 days 11:35:21.289001000,0 days 23:03:42.250000000
11:37:06.247398,0 days 00:01:45.247398000,0 days 11:17:05.000000000,empty,0 days 11:37:06.247398000,0 days 22:52:26.000000000
11:38:51.292198,0 days 00:01:45.292198000,0 days 10:51:02.500000000,empty,0 days 11:38:51.292198000,0 days 22:28:08.500000000
11:40:37.242203,0 days 00:01:45.242203000,0 days 11:04:03.750000000,empty,0 days 11:40:37.242203000,0 days 22:42:55.750000000
11:42:22.240303,0 days 00:01:45.240303000,0 days 11:56:08.750000000,empty,0 days 11:42:22.240303000,0 days 23:36:45.750000000
11:44:08.244797,0 days 00:01:45.244797000,0 days 11:30:06.250000000,empty,0 days 11:44:08.244797000,0 days 23:12:29.250000000
11:45:53.264000,0 days 00:01:45.264000000,0 days 11:43:07.500000000,empty,0 days 11:45:53.264000000,0 days 23:27:15.500000000
11:47:39.290199,0 days 00:01:45.290199000,0 days 13:01:15.000000000,empty,0 days 11:47:39.290199000,1 days 00:47:09.000000000
11:49:24.270401,0 days 00:01:45.270401000,0 days 11:43:07.500000000,empty,0 days 11:49:24.270401000,0 days 23:30:46.500000000
11:51:10.249901,0 days 00:01:45.249901000,0 days 12:22:11.250000000,empty,0 days 11:51:10.249901000,1 days 00:11:36.250000000
11:52:55.245399,0 days 00:01:45.245399000,0 days 12:09:10.000000000,empty,0 days 11:52:55.245399000,1 days 00:00:20.000000000
11:54:41.294701,0 days 00:01:45.294701000,0 days 11:56:08.750000000,empty,0 days 11:54:41.294701000,0 days 23:49:04.750000000
11:56:26.283798,0 days 00:01:45.283798000,0 days 10:11:58.750000000,empty,0 days 11:56:26.283798000,0 days 22:06:39.750000000
11:58:12.285797,0 days 00:01:45.285797000,0 days 13:01:15.000000000,empty,0 days 11:58:12.285797000,1 days 00:57:42.000000000
11:59:22.963203,0 days 00:01:10.963203000,0 days 00:01:12.149117000,search,0 days 11:59:22.963203000,0 days 11:59:24.149117000
12:01:43.242203,0 days 00:01:45.242203000,0 days 11:17:05.000000000,empty,0 days 12:01:43.242203000,0 days 23:17:03.000000000
12:03:28.285103,0 days 00:01:45.285103000,0 days 11:43:07.500000000,empty,0 days 12:03:28.285103000,0 days 23:44:50.500000000
12:03:36.927040,0 days 00:00:07.927040000,0 days 00:00:08.890880000,buzz1,0 days 12:03:36.927040000,0 days 12:03:37.890880000
12:03:37.937599,0 days 00:00:08.937599000,0 days 00:00:10.307840000,attack,0 days 12:03:37.937599000,0 days 12:03:39.307840000
12:03:39.418560,0 days 00:00:10.418560000,0 days 00:00:11.098880000,search,0 days 12:03:39.418560000,0 days 12:03:40.098880000
12:05:09.753304,0 days 00:01:40.753304000,0 days 00:01:41.077202000,search,0 days 12:05:09.753304000,0 days 12:05:10.077202000
12:05:48.746239,0 days 00:00:34.746239000,0 days 00:00:36.082561000,search,0 days 12:05:48.746239000,0 days 12:05:50.082561000
12:05:51.233280,0 days 00:00:37.233280000,0 days 00:00:37.719681000,buzz1,0 days 12:05:51.233280000,0 days 12:05:51.719681000
12:05:52.098560,0 days 00:00:38.098560000,0 days 00:00:38.301441000,approach,0 days 12:05:52.098560000,0 days 12:05:52.301441000
12:05:52.391682,0 days 00:00:38.391682000,0 days 00:00:39.070080000,search,0 days 12:05:52.391682000,0 days 12:05:53.070080000
12:06:01.809921,0 days 00:00:47.809921000,0 days 00:00:48.371201000,search,0 days 12:06:01.809921000,0 days 12:06:02.371201000
12:08:27.546883,0 days 00:01:27.546883000,0 days 00:01:27.953903000,search,0 days 12:08:27.546883000,0 days 12:08:27.953903000
12:08:30.216316,0 days 00:01:30.216316000,0 days 00:01:31.391998000,search,0 days 12:08:30.216316000,0 days 12:08:31.391998000
12:08:42.279099,0 days 00:01:42.279099000,0 days 00:01:43.634003000,search,0 days 12:08:42.279099000,0 days 12:08:43.634003000
