,start_time,end_time,activity,real_start,real_end
11:32:04.071999,0 days 00:01:45.071999000,0 days 00:01:45.097603000,empty,0 days 11:32:04.071999000,0 days 11:32:04.097603000
11:33:40.000298,0 days 00:01:45.000298000,0 days 00:01:45.025902000,empty,0 days 11:33:40.000298000,0 days 11:33:40.025902000
11:35:24.008003,0 days 00:01:45.008003000,0 days 00:01:45.033600000,empty,0 days 11:35:24.008003000,0 days 11:35:24.033600000
11:37:09.018898,0 days 00:01:45.018898000,0 days 00:01:45.044502000,empty,0 days 11:37:09.018898000,0 days 11:37:09.044502000
11:38:53.995796,0 days 00:01:44.995796000,0 days 00:01:45.021400000,empty,0 days 11:38:53.995796000,0 days 11:38:54.021400000
11:40:37.981102,0 days 00:01:44.981102000,0 days 00:01:45.006699000,empty,0 days 11:40:37.981102000,0 days 11:40:38.006699000
11:42:23.051498,0 days 00:01:45.051498000,0 days 00:01:45.077103000,empty,0 days 11:42:23.051498000,0 days 11:42:23.077103000
11:44:08.130897,0 days 00:01:45.130897999,0 days 00:01:45.156502000,empty,0 days 11:44:08.130897999,0 days 11:44:08.156502000
11:45:52.037399,0 days 00:01:45.037399000,0 days 00:01:45.063004000,empty,0 days 11:45:52.037399000,0 days 11:45:52.063004000
11:47:37.087402,0 days 00:01:45.087402000,0 days 00:01:45.112999000,empty,0 days 11:47:37.087402000,0 days 11:47:37.112999000
11:49:21.977898,0 days 00:01:44.977898000,0 days 00:01:45.003502000,empty,0 days 11:49:21.977898000,0 days 11:49:22.003502000
11:51:05.977898,0 days 00:01:44.977898000,0 days 00:01:45.003502000,empty,0 days 11:51:05.977898000,0 days 11:51:06.003502000
11:52:51.056000,0 days 00:01:45.056000000,0 days 00:01:45.081596000,empty,0 days 11:52:51.056000000,0 days 11:52:51.081596000
11:54:36.043800,0 days 00:01:45.043800000,0 days 00:01:45.069397000,empty,0 days 11:54:36.043800000,0 days 11:54:36.069397000
11:56:19.931801,0 days 00:01:44.931801000,0 days 00:01:44.957397000,empty,0 days 11:56:19.931801000,0 days 11:56:19.957397000
11:56:42.908800,0 days 00:00:22.908800000,0 days 00:00:24.718081000,buzz1,0 days 11:56:42.908800000,0 days 11:56:44.718081000
11:56:45.204479,0 days 00:00:25.204479000,0 days 00:00:25.984640000,search,0 days 11:56:45.204479000,0 days 11:56:45.984640000
